,layer,score
0,model.layers.0,31854.52207655579
1,model.layers.1,273.0775969992356
2,model.layers.2,22.216978214261953
3,model.layers.3,20.449075225457662
4,model.layers.4,19.261498107837017
5,model.layers.5,18.649016485690183
6,model.layers.6,18.246474996152028
7,model.layers.7,19.019451656557685
8,model.layers.8,17.883384332325807
9,model.layers.9,18.068021023901313
10,model.layers.10,17.800086548287485
11,model.layers.11,17.621380544726964
12,model.layers.12,17.724194377625825
13,model.layers.13,17.467633516960532
14,model.layers.14,17.677299687593443
15,model.layers.15,17.546526405596254
16,model.layers.16,17.77659102136796
17,model.layers.17,17.695718635059944
18,model.layers.18,17.87033781273298
19,model.layers.19,18.073066105606618
20,model.layers.20,17.98093069446939
21,model.layers.21,18.803090309878737
22,model.layers.22,18.95193382892916
23,model.layers.23,18.740942220524996
24,model.layers.24,19.288735904497617
25,model.layers.25,18.87316892063692
26,model.layers.26,19.762827919404163
27,model.layers.27,20.177648683201248
28,model.layers.28,19.701875697830683
29,model.layers.29,23.0448287887484
30,model.layers.30,27.39069381262103
31,model.layers.31,35.97829294802712
